Date,DXY_R
12/21/2018,0.007062734
12/24/2018,-0.004228507
12/26/2018,0.005178664
12/27/2018,-0.005873261
12/28/2018,-0.000932877
12/31/2018,-0.002282405
1/2/2019,0.006758885
1/3/2019,-0.005267527
1/4/2019,-0.001245935
1/7/2019,-0.004990155
1/8/2019,0.001985195
1/9/2019,-0.00709073
1/10/2019,0.003360638
1/11/2019,0.001360655
1/14/2019,-0.000836229
1/15/2019,0.003975364
1/16/2019,0.000937762
1/17/2019,0.000104122
1/18/2019,0.002810409
1/22/2019,-0.000415124
1/23/2019,-0.001869159
1/24/2019,0.004993706
1/25/2019,-0.008385062
1/28/2019,-0.000417591
1/29/2019,0.00073107
1/30/2019,-0.005009434
1/31/2019,0.00251737
2/1/2019,0
2/4/2019,0.002824817
2/5/2019,0.002608242
2/6/2019,0.003329865
2/7/2019,0.000933458
2/8/2019,0.00134698
2/11/2019,0.004346016
2/12/2019,-0.003606007
2/13/2019,0.00434286
2/14/2019,-0.00154426
2/15/2019,-0.000618736
2/19/2019,-0.004127126
2/20/2019,-0.000725238
2/21/2019,0.001658932
2/22/2019,-0.001035079
2/25/2019,-0.001036141
2/26/2019,-0.004252712
2/27/2019,0.001562521
2/28/2019,0.000104025
3/1/2019,0.003847702
3/4/2019,0.001553931
3/5/2019,0.001758357
3/6/2019,0.000206557
3/7/2019,0.008258439
3/8/2019,-0.003071516
3/11/2019,-0.001540536
3/12/2019,-0.002880056
3/13/2019,-0.004023097
3/14/2019,0.002485738
3/15/2019,-0.001963044
3/18/2019,-0.000828168
3/19/2019,-0.001450477
3/20/2019,-0.006432818
3/21/2019,0.007727631
3/22/2019,0.001554425
3/25/2019,-0.00082775
3/26/2019,0.00176036
3/27/2019,0.000310099
3/28/2019,0.004443526
3/29/2019,0.000823066
4/1/2019,-0.000308378
4/2/2019,0.001131116
4/3/2019,-0.002773264
4/4/2019,0.00226596
4/5/2019,0.00092492
4/8/2019,-0.003593419
4/9/2019,-0.000412169
4/10/2019,-0.000618544
4/11/2019,0.002372388
4/12/2019,-0.002160928
4/15/2019,-0.000309364
4/16/2019,0.001031556
4/17/2019,-0.000309141
4/18/2019,0.004741769
4/22/2019,-0.001949338
4/23/2019,0.002981096
4/24/2019,0.005431977
4/25/2019,0.001019358
4/26/2019,-0.001934776
4/29/2019,-0.001530466
4/30/2019,-0.003883078
5/1/2019,0.002154278
5/2/2019,0.001433105
5/3/2019,-0.003168813
5/6/2019,0
5/7/2019,0.001127974
5/8/2019,-0.000102366
5/9/2019,-0.002560951
5/10/2019,-0.000410814
5/13/2019,-0.000102764
5/14/2019,0.00215782
5/15/2019,0.00041014
5/16/2019,0.002767203
5/17/2019,0.001635364
5/20/2019,-0.000714286
5/21/2019,0.001327458
5/22/2019,0.000509923
5/23/2019,-0.002650117
5/24/2019,-0.002452703
5/28/2019,0.003585678
5/29/2019,0.001837485
5/30/2019,0
5/31/2019,-0.003973905
6/3/2019,-0.006240419
6/4/2019,-0.000720599
6/5/2019,0.003090584
6/6/2019,-0.003491876
6/7/2019,-0.004328538
6/10/2019,0.001552645
6/11/2019,-0.000723439
6/12/2019,0.003206102
6/13/2019,0.000103113
6/14/2019,0.00577258
6/17/2019,-0.000102511
6/18/2019,0.000820018
6/19/2019,-0.005325645
6/20/2019,-0.005045366
6/21/2019,-0.004242947
6/24/2019,-0.002494263
6/25/2019,0.001875401
6/26/2019,0.000519915
6/27/2019,-0.000207847
6/28/2019,-0.000623817
7/1/2019,0.007385822
7/2/2019,-0.001135822
7/3/2019,0.00041346
7/5/2019,0.004960246
7/8/2019,0.00133673
7/9/2019,0.001129606
7/10/2019,-0.00400041
7/11/2019,-0.000514882
7/12/2019,-0.002473004
7/15/2019,0.001239562
7/16/2019,0.004848881
7/17/2019,-0.00184806
7/18/2019,-0.004422958
7/19/2019,0.003719403
7/22/2019,0.00113227
7/23/2019,0.004626743
7/24/2019,0.000204728
7/25/2019,0.000920874
7/26/2019,0.001942364
7/29/2019,0.000306081
7/30/2019,0.00010202
7/31/2019,0.004793411
8/1/2019,-0.001319509
8/2/2019,-0.002947464
8/5/2019,-0.006116188
8/6/2019,0.001333303
8/7/2019,-0.000921807
8/8/2019,0.000820197
8/9/2019,-0.001331746
8/12/2019,-0.001128331
8/13/2019,0.004415702
